date,line,event,direction,trail_median,reference,ratio
2023-08-30,gnss_interference,hold,high,0.46185,0.2289,2.018
2023-08-31,gnss_interference,hold,high,0.45295,0.2289,1.979
2023-09-01,gnss_interference,hold,high,0.444,0.2289,1.940
2023-09-02,gnss_interference,hold,high,0.4403,0.2289,1.924
2023-09-03,gnss_interference,hold,high,0.4395,0.2289,1.920
2023-09-04,gnss_interference,hold,high,0.4395,0.2289,1.920
2023-09-05,gnss_interference,hold,high,0.43635,0.2289,1.906
2023-09-06,gnss_interference,hold,high,0.43085,0.2289,1.882
2023-09-07,gnss_interference,hold,high,0.4178,0.2289,1.825
2023-09-08,gnss_interference,hold,high,0.407,0.2289,1.778
2023-09-09,gnss_interference,hold,high,0.40525,0.2289,1.770
2023-09-10,gnss_interference,hold,high,0.3981,0.2289,1.739
2023-09-11,gnss_interference,hold,high,0.373,0.2289,1.630
2023-09-12,gnss_interference,hold,high,0.352,0.2289,1.538
2023-09-13,gnss_interference,hold,high,0.352,0.2289,1.538
2023-09-14,gnss_interference,hold,high,0.352,0.2289,1.538
2023-09-15,gnss_interference,hold,high,0.34605,0.2289,1.512
2023-09-16,gnss_interference,hold,high,0.34085,0.2289,1.489
2023-09-17,gnss_interference,hold,high,0.33635,0.2289,1.469
2023-09-18,gnss_interference,hold,high,0.33275,0.2289,1.454
2023-09-19,gnss_interference,hold,high,0.33275,0.2289,1.454
2023-09-20,gnss_interference,hold,high,0.33275,0.2289,1.454
2023-09-21,gnss_interference,hold,high,0.33275,0.2289,1.454
2023-09-22,gnss_interference,hold,high,0.3379,0.2289,1.476
2023-09-23,gnss_interference,hold,high,0.3313,0.2289,1.447
2023-09-24,gnss_interference,hold,high,0.3261,0.2289,1.425
2023-09-25,gnss_interference,hold,high,0.3261,0.2289,1.425
2023-09-26,gnss_interference,hold,high,0.3261,0.2289,1.425
2023-09-27,gnss_interference,hold,high,0.3261,0.2289,1.425
2023-09-28,gnss_interference,hold,high,0.31865,0.2289,1.392
2023-09-29,gnss_interference,hold,high,0.31865,0.2289,1.392
2023-09-30,gnss_interference,hold,high,0.31865,0.2289,1.392
2023-10-01,gnss_interference,hold,high,0.32375,0.2289,1.414
2023-10-02,gnss_interference,hold,high,0.32375,0.2289,1.414
2023-10-03,gnss_interference,hold,high,0.31845,0.2289,1.391
2023-10-04,gnss_interference,hold,high,0.3124,0.2289,1.365
2023-10-05,gnss_interference,hold,high,0.3124,0.2289,1.365
2023-10-06,gnss_interference,hold,high,0.30535,0.2289,1.334
2023-10-07,gnss_interference,hold,high,0.30535,0.2289,1.334
2023-10-08,gnss_interference,hold,high,0.30535,0.2289,1.334
2023-10-09,gnss_interference,hold,high,0.3053,0.2289,1.334
2023-10-10,gnss_interference,hold,high,0.29945,0.2289,1.308
2023-10-11,gnss_interference,hold,high,0.29695,0.2289,1.297
2023-10-12,gnss_interference,hold,high,0.299,0.2289,1.306
2023-10-13,gnss_interference,hold,high,0.299,0.2289,1.306
2023-10-14,gnss_interference,hold,high,0.299,0.2289,1.306
2023-10-15,gnss_interference,hold,high,0.299,0.2289,1.306
2023-10-16,gnss_interference,hold,high,0.29995,0.2289,1.310
2023-10-17,gnss_interference,hold,high,0.3032,0.2289,1.325
2023-10-18,gnss_interference,hold,high,0.30825,0.2289,1.347
2023-10-19,gnss_interference,hold,high,0.30825,0.2289,1.347
2023-10-20,gnss_interference,hold,high,0.31355,0.2289,1.370
2023-10-21,gnss_interference,hold,high,0.3113,0.2289,1.360
2023-10-22,gnss_interference,hold,high,0.31405,0.2289,1.372
2023-10-23,gnss_interference,hold,high,0.31405,0.2289,1.372
2023-10-24,gnss_interference,hold,high,0.31405,0.2289,1.372
2023-10-25,gnss_interference,hold,high,0.31405,0.2289,1.372
2023-10-26,gnss_interference,hold,high,0.31405,0.2289,1.372
2023-10-27,gnss_interference,hold,high,0.30875,0.2289,1.349
2023-10-28,gnss_interference,hold,high,0.30875,0.2289,1.349
2023-10-29,gnss_interference,hold,high,0.3024,0.2289,1.321
2023-10-30,gnss_interference,hold,high,0.2981,0.2289,1.302
2023-10-31,gnss_interference,hold,high,0.2981,0.2289,1.302
2023-11-01,gnss_interference,hold,high,0.2981,0.2289,1.302
2023-11-02,gnss_interference,hold,high,0.2965,0.2289,1.295
2023-11-03,gnss_interference,hold,high,0.29375,0.2289,1.283
2023-11-04,gnss_interference,hold,high,0.29375,0.2289,1.283
2023-11-05,gnss_interference,hold,high,0.29375,0.2289,1.283
2023-11-06,gnss_interference,hold,high,0.2956,0.2289,1.291
2023-11-07,gnss_interference,hold,high,0.2965,0.2289,1.295
2023-11-08,gnss_interference,hold,high,0.2985,0.2289,1.304
2023-11-09,gnss_interference,hold,high,0.2985,0.2289,1.304
2023-11-10,gnss_interference,hold,high,0.2985,0.2289,1.304
2023-11-11,gnss_interference,hold,high,0.2956,0.2289,1.291
2023-11-12,gnss_interference,hold,high,0.2956,0.2289,1.291
2023-11-13,gnss_interference,hold,high,0.2956,0.2289,1.291
2023-11-14,gnss_interference,hold,high,0.2925,0.2289,1.278
2023-11-15,gnss_interference,hold,high,0.28505,0.2289,1.245
2023-11-16,gnss_interference,hold,high,0.2803,0.2289,1.225
2023-11-17,gnss_interference,hold,high,0.27875,0.2289,1.218
2023-11-18,gnss_interference,hold,high,0.2778,0.2289,1.214
2023-11-19,gnss_interference,clear,high,0.27345,0.2289,1.195
